"park_join","park_name","n_apidae","n_hb","hb_percent","hb_raw","interaction_sum","log_interaction_sum","n_plants","n_pollinators","n_unique_links"
"broward_anne kolb nature center","Broward_Anne Kolb Nature Center",11,11,100,1,21,3.09104245335832,15,12,33
"broward_fern forest nature center","Broward_Fern Forest Nature Center",16,10,62.5,0.625,29,3.40119738166216,14,12,36
"broward_long key natural area and nature center","Broward_Long Key Natural Area and Nature Center",47,33,70.2127659574468,0.702127659574468,40,3.71357206670431,12,20,51
"broward_markham park","Broward_Markham Park",56,37,66.0714285714286,0.660714285714286,126,4.84418708645859,31,32,127
"broward_miramar pineland natural area","Broward_Miramar Pineland Natural Area",10,2,20,0.2,26,3.29583686600433,7,11,29
"broward_quiet waters park","Broward_Quiet Waters Park",70,41,58.5714285714286,0.585714285714286,85,4.45434729625351,14,28,89
"broward_snake warriors island","Broward_Snake Warriors Island",10,5,50,0.5,7,2.07944154167984,4,7,15
"broward_topeekeegee yugnee park","Broward_Topeekeegee Yugnee Park",6,6,100,1,8,2.19722457733622,7,5,13
"broward_tradewinds park","Broward_Tradewinds Park",26,13,50,0.5,36,3.61091791264422,16,19,55
"broward_tree tops park","Broward_Tree Tops Park",25,9,36,0.36,40,3.71357206670431,12,18,47
"broward_vista view park","Broward_Vista View Park",39,27,69.2307692307692,0.692307692307692,10,2.39789527279837,6,8,16
"coconut creek_george s. gerber memorial park","Coconut Creek_George S. Gerber Memorial Park",8,7,87.5,0.875,6,1.94591014905531,3,4,12
"davie_robbins preserve","Davie_Robbins Preserve",6,3,50,0.5,14,2.70805020110221,9,11,22
"plantation_hoffman park","Plantation_Hoffman Park",34,14,41.1764705882353,0.411764705882353,19,2.99573227355399,7,14,24
"plantation_plantation preserve park & linear trail","Plantation_Plantation Preserve Park & Linear Trail",15,15,100,1,21,3.09104245335832,8,8,29
"sunrise_oak hammock-passive park","Sunrise_Oak Hammock-Passive Park",7,7,100,1,9,2.30258509299405,4,5,12
