"park_name","n_plants","n_pollinators","n_links","interaction_sum","connectance","web_asymmetry","nestedness","modularity","H2","linkage_density","interaction_evenness","n_records"
"Broward_Anne Kolb Nature Center",15,12,20,21,0.111111111111111,-0.111111111111111,21.3753897554405,0.736961451247166,0.156802637393764,2.01594392201255,0.573566949630371,21
"Broward_CB Smith Park",2,2,2,2,0.5,0,37.6960193003619,0.5,NA,1,0.5,2
"Broward_Central Broward Regional Park",3,2,3,3,0.5,-0.2,44.7284557384349,0.444444444444444,NA,1.33333333333333,0.613147192765458,3
"Broward_Crystal Lake Sand Pine Scrub",3,4,4,4,0.333333333333333,0.142857142857143,45.0308414365779,0.625,NA,1.25,0.55788589130226,4
"Broward_Everglades Holiday Park",5,6,9,9,0.3,0.0909090909090909,27.5020206953787,0.493827160493827,0,2.22222222222222,0.646015014942309,9
"Broward_Fern Forest Nature Center",14,12,21,29,0.125,-0.0769230769230769,18.5897297647481,0.560047562425683,0.468630180558123,2.60220507404718,0.563872678122487,29
"Broward_Helene Klein Pineland Preserve",2,2,2,2,0.5,0,37.6960193003619,0.5,NA,1,0.5,2
"Broward_Highlands Scrub Natural Area",2,2,2,2,0.5,0,37.6960193003619,0.5,NA,1,0.5,2
"Broward_Kristin Jacobs Natural Area at Hillsboro Pineland",4,4,4,4,0.25,0,63.0781251299869,0.75,NA,1,0.5,4
"Broward_Long Key Natural Area and Nature Center",12,20,35,40,0.145833333333333,0.25,19.262146019386,0.544375,0.218953898317729,3.83216065492032,0.639069915819974,40
"Broward_Markham Park",31,32,82,126,0.0826612903225806,0.0158730158730159,8.46053147590411,0.516691861929957,0.315453247562001,4.73359989981083,0.603165960642981,126
"Broward_Military Trail Nature Area",4,5,5,6,0.25,0.111111111111111,50.5215837564952,0.666666666666667,1,1.22247039371058,0.520977933448591,6
"Broward_Miramar Pineland Natural Area",7,11,17,26,0.220779220779221,0.222222222222222,28.0971066775621,0.53698224852071,0.589956812843369,2.77741603623348,0.617429630763276,26
"Broward_Pine Island Ridge Natural Area",3,8,10,12,0.416666666666667,0.454545454545455,28.2093504980944,0.340277777777778,0.333333333333334,3.35517695571507,0.709194277352625,12
"Broward_Plantation Heritage Park",1,2,2,2,NA,NA,NA,NA,NA,NA,NA,2
"Broward_Quiet Waters Park",14,28,53,85,0.135204081632653,0.333333333333333,11.0902676459325,0.476539792387543,0.41223409573237,5.94517890799706,0.633532486500772,85
"Broward_Secret Woods Park",4,5,6,7,0.3,0.111111111111111,39.2674995118265,0.571428571428571,0.420619835714305,1.5242349606467,0.583452704668155,7
"Broward_Snake Warriors Island",4,7,7,7,0.25,0.272727272727273,45.1729894846306,0.693877551020408,NA,1.57142857142857,0.583970804646981,7
"Broward_Tall Cypress Natural Area",7,7,9,10,0.183673469387755,0,49.0315813082278,0.66,0.296081910965865,1.53348223622635,0.556026612516667,10
"Broward_Topeekeegee Yugnee Park",7,5,8,8,0.228571428571429,-0.166666666666667,44.1911627462463,0.71875,0,1.5,0.584877065681359,8
"Broward_Tradewinds Park",16,19,31,36,0.101973684210526,0.0857142857142857,10.3323222195193,0.624228395061728,0.302871181269185,3.8407569544784,0.59059419695948,36
"Broward_Tree Tops Park",12,18,29,40,0.134259259259259,0.2,15.0546296033681,0.52,0.285618521041888,3.53845126188455,0.596407171486869,40
"Broward_Vista View Park",6,8,10,10,0.208333333333333,0.142857142857143,32.2865496703025,0.7,0,1.8,0.594798639106067,10
"Broward_Woodmont Natural Area",4,3,4,4,0.333333333333333,-0.142857142857143,45.0318082660931,0.625,NA,1.25,0.55788589130226,4
"Coconut Creek_George S. Gerber Memorial Park",3,4,5,6,0.416666666666667,0.142857142857143,42.2621470855468,0.472222222222222,0.5,1.55580372704391,0.62807607246516,6
"Dania Beach_Linear Park",8,13,22,46,0.211538461538462,0.238095238095238,23.8996383956083,0.590737240075614,0.550383432262602,2.62483345330474,0.614997032444695,46
"Dania Beach_Whiskey Creek Hideout",1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
"Davie_Robbins Preserve",9,11,14,14,0.141414141414141,0.1,29.4458932346942,0.75,0,1.71428571428571,0.574317409705421,14
"Davie_Wolf Lake Park",5,8,9,11,0.225,0.230769230769231,37.040306060306,0.68595041322314,0.59216382193173,1.75771112384213,0.581705577340473,11
"Fort Lauderdale_Cypress Creek Sand Pine Preserve",1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
"Fort Lauderdale_Snyder Park",7,13,15,17,0.164835164835165,0.3,44.7247125222519,0.754325259515571,0.456887652641059,1.86134548618923,0.591931512375699,17
"Oakland Park_Stunson Nature Trail",4,3,5,6,0.416666666666667,-0.142857142857143,26.7692297216876,0.416666666666667,0.5,1.7761423749154,0.62807607246516,6
"Pembroke Pines_Chapel Trail Nature Preserve",4,5,5,7,0.25,0.111111111111111,50.5215837564952,0.612244897959184,1,1.28571428571429,0.517344643765367,7
"Plantation_Hoffman Park",7,14,16,19,0.163265306122449,0.333333333333333,26.5676692481966,0.67590027700831,0.557885891302259,2.62751959837441,0.594453593948283,19
"Plantation_Plantation Preserve Park & Linear Trail",8,8,15,21,0.234375,0,26.8542880407794,0.53968253968254,0.494194658669863,2.32078934627237,0.602175697632966,21
"Plantation_Volunteer Park",3,3,4,4,0.444444444444444,0,24.2091330513393,0.4375,0,1.5,0.630929753571457,4
"Sunrise_Oak Hammock-Passive Park",4,5,7,9,0.35,0.111111111111111,25.6622529857361,0.432098765432099,0.59216382193173,2.07143036280188,0.630616821279832,9
